title,author,year,category,subcategory,url,description
King James Bible,Various,1611,Sacred Texts,Christianity,https://www.gutenberg.org/cache/epub/10/pg10.txt,"The foundational text of Western Christianity, King James translation"
Douay-Rheims Bible,Various,1609,Sacred Texts,Christianity,https://www.gutenberg.org/cache/epub/8300/pg8300.txt,"Catholic English translation of the Bible"
The Book of Mormon,Joseph Smith,1830,Sacred Texts,Christianity,https://www.gutenberg.org/cache/epub/17/pg17.txt,"Sacred text of the Latter-day Saints movement"
The Quran (Palmer Translation),Muhammad / E.H. Palmer,609,Sacred Texts,Islam,https://www.gutenberg.org/cache/epub/2800/pg2800.txt,"The central religious text of Islam, English translation by E.H. Palmer"
The Quran (Rodwell Translation),Muhammad / J.M. Rodwell,609,Sacred Texts,Islam,https://www.gutenberg.org/cache/epub/3434/pg3434.txt,"English translation of the Quran by J.M. Rodwell"
Bhagavad Gita,Vyasa / Edwin Arnold,200,Sacred Texts,Hinduism,https://www.gutenberg.org/cache/epub/2388/pg2388.txt,"Hindu scripture on duty, righteousness, and the nature of reality"
The Upanishads,Various / F. Max Muller,800,Sacred Texts,Hinduism,https://www.gutenberg.org/cache/epub/3283/pg3283.txt,"Ancient Sanskrit texts containing core Hindu philosophical teachings"
The Vedanta Sutras,Badarayana / George Thibaut,200,Sacred Texts,Hinduism,https://www.gutenberg.org/cache/epub/34encyclope/pg34encyclope.txt,"Foundational text of Vedanta philosophy"
Tao Te Ching,Lao Tzu,500,Sacred Texts,Taoism,https://www.gutenberg.org/cache/epub/216/pg216.txt,"The foundational text of Taoism on the Way and its Power"
The Dhammapada,Buddha / F. Max Muller,300,Sacred Texts,Buddhism,https://www.gutenberg.org/cache/epub/2017/pg2017.txt,"Collection of sayings of the Buddha in verse form"
The Gospel of Buddha,Paul Carus,1894,Sacred Texts,Buddhism,https://www.gutenberg.org/cache/epub/35895/pg35895.txt,"Compilation of Buddhist parables and teachings"
Sutta Nipata,Buddha / V. Fausboll,300,Sacred Texts,Buddhism,https://www.gutenberg.org/cache/epub/14718/pg14718.txt,"One of the oldest collections of Buddhist discourses"
The Analects of Confucius,Confucius / James Legge,500,Sacred Texts,Confucianism,https://www.gutenberg.org/cache/epub/4094/pg4094.txt,"Collected sayings and ideas of the Chinese philosopher Confucius"
The Book of Rites,Confucius / James Legge,500,Sacred Texts,Confucianism,https://www.gutenberg.org/cache/epub/3330/pg3330.txt,"Classic text on social forms, governmental systems, and ceremonial rites"
The Kojiki,O no Yasumaro,712,Sacred Texts,Shinto,https://www.gutenberg.org/cache/epub/5765/pg5765.txt,"The oldest surviving chronicle in Japan, Record of Ancient Matters"
The Zend Avesta Part 1,Zoroaster / James Darmesteter,1200,Sacred Texts,Zoroastrianism,https://www.gutenberg.org/cache/epub/17945/pg17945.txt,"Sacred texts of Zoroastrianism - The Vendidad"
The Zend Avesta Part 2,Zoroaster / James Darmesteter,1200,Sacred Texts,Zoroastrianism,https://www.gutenberg.org/cache/epub/22181/pg22181.txt,"Sacred texts of Zoroastrianism - The Sirozahs, Yasts, and Nyayis"
The Zend Avesta Part 3,Zoroaster / L.H. Mills,1200,Sacred Texts,Zoroastrianism,https://www.gutenberg.org/cache/epub/22549/pg22549.txt,"Sacred texts of Zoroastrianism - The Yasna, Visparad, Afrinagan, Gahs"
The Kybalion,Three Initiates,1908,Hermetic / Occult,Hermeticism,https://www.gutenberg.org/cache/epub/14209/pg14209.txt,"Study of the hermetic philosophy of ancient Egypt and Greece"
The Divine Pymander,Hermes Trismegistus,200,Hermetic / Occult,Hermeticism,https://www.gutenberg.org/cache/epub/54578/pg54578.txt,"Core text of the Hermetic tradition attributed to Hermes Trismegistus"
The Emerald Tablet of Hermes,Hermes Trismegistus,800,Hermetic / Occult,Hermeticism,https://sacred-texts.com/alc/emerald.htm,"The foundational text of Western alchemy, attributed to Hermes"
The Corpus Hermeticum,Hermes Trismegistus / G.R.S. Mead,200,Hermetic / Occult,Hermeticism,https://www.gutenberg.org/cache/epub/54578/pg54578.txt,"Collection of texts attributed to Hermes Trismegistus"
The Secret Doctrine Vol 1,H.P. Blavatsky,1888,Hermetic / Occult,Theosophy,https://www.gutenberg.org/cache/epub/53865/pg53865.txt,"Blavatsky's magnum opus on cosmogenesis and the origin of humanity"
The Secret Doctrine Vol 2,H.P. Blavatsky,1888,Hermetic / Occult,Theosophy,https://www.gutenberg.org/cache/epub/54488/pg54488.txt,"Anthropogenesis - the origin and evolution of humanity"
Isis Unveiled Vol 1,H.P. Blavatsky,1877,Hermetic / Occult,Theosophy,https://www.gutenberg.org/cache/epub/53868/pg53868.txt,"Master key to the mysteries of ancient and modern science and theology"
The Key to Theosophy,H.P. Blavatsky,1889,Hermetic / Occult,Theosophy,https://www.gutenberg.org/cache/epub/55665/pg55665.txt,"Clear exposition of Theosophy in the form of questions and answers"
Dogme et Rituel de la Haute Magie,Eliphas Levi,1856,Hermetic / Occult,Ceremonial Magic,https://www.gutenberg.org/cache/epub/55116/pg55116.txt,"The foundational text of modern Western ceremonial magic"
The Book of Ceremonial Magic,Arthur Edward Waite,1911,Hermetic / Occult,Ceremonial Magic,https://www.gutenberg.org/cache/epub/60764/pg60764.txt,"Comprehensive study of grimoire traditions and ritual magic"
The Book of the Sacred Magic of Abramelin the Mage,S.L. MacGregor Mathers,1897,Hermetic / Occult,Ceremonial Magic,https://sacred-texts.com/grim/abr/index.htm,"Classic grimoire describing a quest for the Holy Guardian Angel"
The Doctrine and Ritual of High Magic,Eliphas Levi / A.E. Waite,1896,Hermetic / Occult,Ceremonial Magic,https://www.gutenberg.org/cache/epub/55116/pg55116.txt,"Foundational text connecting Tarot, Kabbalah, and ceremonial magic"
Meditations,Marcus Aurelius,180,Philosophy,Stoicism,https://www.gutenberg.org/cache/epub/2680/pg2680.txt,"Stoic philosophical reflections of the Roman Emperor"
The Republic,Plato,380,Philosophy,Ancient Greek,https://www.gutenberg.org/cache/epub/1497/pg1497.txt,"Plato's most famous work on justice, the ideal state, and the philosopher-king"
The Symposium,Plato,385,Philosophy,Ancient Greek,https://www.gutenberg.org/cache/epub/1600/pg1600.txt,"Plato's exploration of the nature of love and beauty"
Phaedo,Plato,360,Philosophy,Ancient Greek,https://www.gutenberg.org/cache/epub/1658/pg1658.txt,"Plato's account of Socrates' final hours and arguments for the soul's immortality"
Timaeus,Plato,360,Philosophy,Ancient Greek,https://www.gutenberg.org/cache/epub/1572/pg1572.txt,"Plato's account of the creation of the universe and the nature of reality"
Nicomachean Ethics,Aristotle,340,Philosophy,Ancient Greek,https://www.gutenberg.org/cache/epub/8438/pg8438.txt,"Aristotle's most important work on moral philosophy and virtue"
The Art of War,Sun Tzu,500,Philosophy,Eastern Strategy,https://www.gutenberg.org/cache/epub/132/pg132.txt,"Ancient Chinese military treatise on strategy and tactics"
The Prince,Niccolo Machiavelli,1532,Philosophy,Political,https://www.gutenberg.org/cache/epub/1232/pg1232.txt,"The foundational text of modern political philosophy"
Discourses on Livy,Niccolo Machiavelli,1531,Philosophy,Political,https://www.gutenberg.org/cache/epub/10827/pg10827.txt,"Machiavelli's analysis of Roman republican government"
Beyond Good and Evil,Friedrich Nietzsche,1886,Philosophy,Existentialism,https://www.gutenberg.org/cache/epub/4363/pg4363.txt,"Nietzsche's critique of past philosophers and their moral prejudices"
Thus Spoke Zarathustra,Friedrich Nietzsche,1885,Philosophy,Existentialism,https://www.gutenberg.org/cache/epub/1998/pg1998.txt,"Nietzsche's philosophical novel on the Ubermensch and eternal recurrence"
The Antichrist,Friedrich Nietzsche,1895,Philosophy,Existentialism,https://www.gutenberg.org/cache/epub/19322/pg19322.txt,"Nietzsche's devastating critique of Christianity and morality"
Ecce Homo,Friedrich Nietzsche,1908,Philosophy,Existentialism,https://www.gutenberg.org/cache/epub/7202/pg7202.txt,"Nietzsche's provocative autobiography - How One Becomes What One Is"
Twilight of the Idols,Friedrich Nietzsche,1889,Philosophy,Existentialism,https://www.gutenberg.org/cache/epub/52263/pg52263.txt,"Nietzsche's sharp critique of European culture and philosophy"
The Enchiridion,Epictetus,135,Philosophy,Stoicism,https://www.gutenberg.org/cache/epub/45109/pg45109.txt,"Handbook of Stoic ethical advice compiled by Arrian"
Discourses of Epictetus,Epictetus,135,Philosophy,Stoicism,https://www.gutenberg.org/cache/epub/10661/pg10661.txt,"Teachings of the Stoic philosopher on freedom and self-mastery"
